V1	V2	weight	condition
IL7R	FYN	1	non-differential
IFI6	ISG15	1	non-differential
IFI6	LAMP1	1	non-differential
IFI6	TGFBR2	1	non-differential
AC090498.1	RASGRP1	1	non-differential
PRF1	ACTG1	1	non-differential
PRF1	NHP2	1	non-differential
GGA2	POGLUT1	1	non-differential
GGA2	RABAC1	1	non-differential
ATP1B3	HSPA5	1	non-differential
ATP1B3	SPTAN1	1	non-differential
ATP1B3	JUND	1	non-differential
ATP1B3	CTSA	1	non-differential
JUN	TSHZ2	1	non-differential
NR4A2	GIMAP4	1	non-differential
NR4A2	EIF4A1	1	non-differential
NR4A2	TGFBR2	1	non-differential
NR4A2	PIK3IP1	1	non-differential
LTB	RPS27	1	non-differential
LTB	CORO1B	1	non-differential
LTB	FAM118A	1	non-differential
GZMA	CTSS	1	non-differential
CD96	PRELID1	1	non-differential
SERPINB1	NAA38	1	non-differential
SESN3	LCP1	1	non-differential
ANXA1	SDCBP	1	non-differential
CXCR3	CD5	1	non-differential
CXCR3	HMGB1	1	non-differential
CXCR3	NCDN	1	non-differential
CXCR3	SYPL1	1	non-differential
CXCR3	CD48	1	non-differential
RPS27	HMGB1	1	non-differential
PFKFB3	CTLA4	1	non-differential
PFKFB3	FAM65B	1	non-differential
PIM2	PTGER4	1	non-differential
RARRES3	SETD2	1	non-differential
RARRES3	GMFG	1	non-differential
RARRES3	GPR171	1	non-differential
CST7	C12ORF75	1	non-differential
CST7	MGST3	1	non-differential
TSPYL2	ABLIM1	1	non-differential
TSPYL2	TPM4	1	non-differential
TSPYL2	PBXIP1	1	non-differential
TSPYL2	SUN2	1	non-differential
TSPYL2	NFKB1	1	non-differential
GABARAPL1	MALAT1	1	non-differential
GABARAPL1	TUBA4A	1	non-differential
GABARAPL1	DNMT1	1	non-differential
HLA-DMA	SMC4	1	non-differential
HLA-DMA	ITGAE	1	non-differential
JUNB	NINJ1	1	non-differential
JUNB	CSRNP1	1	non-differential
JUNB	SRSF3	1	non-differential
JUNB	OAT	1	non-differential
C12ORF75	GALNT2	1	non-differential
C12ORF75	TPM4	1	non-differential
C12ORF75	HSP90B1	1	non-differential
C12ORF75	DOK2	1	non-differential
HSP90AA1	SYTL3	1	non-differential
REL	LDLRAD4	1	non-differential
SYTL3	TSHZ2	1	non-differential
SYTL3	CCNDBP1	1	non-differential
FYN	CCNDBP1	1	non-differential
FYN	EIF4A1	1	non-differential
RPS2	ACTG1	1	non-differential
RPS2	JAML	1	non-differential
NR3C1	BIRC2	1	non-differential
PTPRC	PKM	1	non-differential
PTPRC	CD63	1	non-differential
PTPRC	SPOCK2	1	non-differential
SETD2	MIR4435-2HG	1	non-differential
H2AFZ	SNRPD1	1	non-differential
H2AFZ	SPOCK2	1	non-differential
H2AFZ	PIK3IP1	1	non-differential
H2AFZ	G6PD	1	non-differential
ACTG1	CDC25B	1	non-differential
RNF19A	APLP2	1	non-differential
